S/N		Word	Frequency
316		text	1
317		text	1
318		text	1
319		text	1
320		text	1
321		text	1
322		text	1
323		text	1
324		text	1
325		text	1
326		text	1
327		text	1
328		text	1
329		text	1
330		text	1
331		text	1
332		text	1
333		text	1
334		text	1
335		text	1
336		text	1
337		text	1
338		text	1
339		text	1
340		text	1
341		text	1
342		text	1
343		text	1
344		text	1
345		text	1
346		text	1
347		text	1
348		text	1
349		text	1
350		text	1
351		text	1
352		text	1
353		text	1
354		text	1
355		text	1
356		text	1
357		text	1
358		text	1
359		text	1
360		text	1
361		text	1
362		text	1
363		text	1
364		text	1
365		text	1
366		text	1
367		text	1
368		text	1
369		text	1
370		text	1
371		text	1
372		text	1
373		text	1
374		text	1
375		text	1
376		text	1
377		text	1
378		text	1
379		text	1
380		text	1
381		text	1
382		text	1
383		text	1
384		text	1
385		text	1
386		text	1
387		text	1
388		text	1
389		text	1
390		text	1
391		text	1
392		text	1
393		text	1
394		text	1
395		text	1
396		text	1
397		text	1
398		text	1
399		text	1
400		text	1
401		text	1
402		text	1
403		text	1
404		text	1
405		text	1
406		text	1
407		text	1
408		text	1
409		text	1
410		text	1
411		text	1
412		text	1
413		text	1
414		text	1
415		text	1
416		text	1
417		text	1
418		text	1
419		text	1
420		text	1
421		text	1
422		text	1
423		text	1
424		text	1
425		text	1
426		text	1
427		text	1
428		text	1
429		text	1
430		text	1
431		text	1
432		text	1
433		text	1
434		text	1
435		text	1
436		text	1
437		text	1
438		text	1
439		text	1
440		text	1
441		text	1
442		text	1
443		text	1
444		text	1
445		text	1
446		text	1
447		text	1
448		text	1
449		text	1
450		text	1
451		text	1
452		text	1
453		text	1
454		text	1
455		text	1
456		text	1
457		text	1
458		text	1
459		text	1
460		text	1
461		text	1
462		text	1
463		text	1
464		text	1
465		text	1
466		text	1
467		text	1
468		text	1
469		text	1
470		text	1
471		text	1
472		text	1
473		text	1
474		text	1
475		text	1
476		text	1
477		text	1
478		text	1
479		text	1
480		text	1
481		text	1
482		text	1
483		text	1
484		text	1
485		text	1
486		text	1
487		text	1
488		text	1
489		text	1
490		text	1
491		text	1
492		text	1
493		text	1
494		text	1
495		text	1
496		text	1
497		text	1
498		text	1
499		text	1
500		text	1
501		text	1
502		text	1
503		text	1
504		text	1
505		text	1
506		text	1
507		text	1
508		text	1
509		text	1
510		text	1
511		text	1
512		text	1
513		text	1
514		text	1
515		text	1
516		text	1
517		text	1
518		text	1
519		text	1
520		text	1
521		text	1
522		text	1
523		text	1
524		text	1
525		text	1
526		text	1
527		text	1
528		text	1
529		text	1
530		text	1
531		text	1
532		text	1
533		text	1
534		text	1
535		text	1
536		text	1
537		text	1
538		text	1
539		text	1
540		text	1
541		text	1
542		text	1
543		text	1
544		text	1
545		text	1
546		text	1
547		text	1
548		text	1
549		text	1
550		text	1
551		text	1
552		text	1
553		text	1
554		text	1
555		text	1
556		text	1
557		text	1
558		text	1
559		text	1
560		text	1
561		text	1
562		text	1
563		text	1
564		text	1
565		text	1
566		text	1
567		text	1
568		text	1
569		text	1
570		text	1
571		text	1
572		text	1
573		text	1
574		text	1
575		text	1
576		text	1
577		text	1
578		text	1
579		text	1
580		text	1
581		text	1
582		text	1
583		text	1
584		text	1
585		text	1
586		text	1
587		text	1
588		text	1
589		text	1
590		text	1
591		text	1
592		text	1
593		text	1
594		text	1
595		text	1
596		text	1
597		text	1
598		text	1
599		text	1
600		text	1
601		text	1
602		text	1
603		text	1
604		text	1
605		text	1
606		text	1
607		text	1
608		text	1
609		text	1
610		text	1
611		text	1
612		text	1
613		text	1
614		text	1
615		text	1
616		text	1
617		text	1
618		text	1
619		text	1
620		text	1
621		text	1
622		text	1
623		text	1
624		text	1
625		text	1
626		text	1
627		text	1
628		text	1
629		text	1
630		text	1
631		text	1
632		text	1
633		text	1
634		text	1
635		text	1
636		text	1
637		text	1
638		text	1
639		text	1
640		text	1
641		text	1
642		text	1
643		text	1
644		text	1
645		text	1
646		text	1
647		text	1
648		text	1
649		text	1
650		text	1
651		text	1
652		text	1
653		text	1
654		text	1
655		text	1
656		text	1
657		text	1
658		text	1
659		text	1
660		text	1
661		text	1
662		text	1
663		text	1
664		text	1
665		text	1
666		text	1
667		text	1
668		text	1
669		text	1
670		text	1
671		text	1
672		text	1
673		text	1
674		text	1
675		text	1
676		text	1
677		text	1
678		text	1
679		text	1
680		text	1
681		text	1
682		text	1
683		text	1
684		text	1
685		text	1
686		text	1
687		text	1
688		text	1
689		text	1
690		text	1
691		text	1
692		text	1
693		text	1
694		text	1
695		text	1
696		text	1
697		text	1
698		text	1
699		text	1
700		text	1
701		text	1
702		text	1
703		text	1
704		text	1
705		text	1
706		text	1
707		text	1
708		text	1
709		text	1
710		text	1
711		text	1
712		text	1
713		text	1
714		text	1
715		text	1
716		text	1
717		text	1
718		text	1
719		text	1
720		text	1
721		text	1
722		text	1
723		text	1
724		text	1
725		text	1
726		text	1
727		text	1
728		text	1
729		text	1
730		text	1
731		text	1
732		text	1
733		text	1
734		text	1
735		text	1
736		text	1
737		text	1
738		text	1
739		text	1
740		text	1
741		text	1
742		text	1
743		text	1
744		text	1
745		text	1
746		text	1
747		text	1
748		text	1
749		text	1
750		text	1
751		text	1
752		text	1
753		text	1
754		text	1
755		text	1
756		text	1
757		text	1
758		text	1
759		text	1
760		text	1
761		text	1
762		text	1
763		text	1
764		text	1
765		text	1
766		text	1
767		text	1
768		text	1
769		text	1
770		text	1
771		text	1
772		text	1
773		text	1
774		text	1
775		text	1
776		text	1
777		text	1
778		text	1
779		text	1
780		text	1
781		text	1
782		text	1
783		text	1
784		text	1
785		text	1
786		text	1
787		text	1
788		text	1
789		text	1
790		text	1
791		text	1
792		text	1
793		text	1
794		text	1
795		text	1
796		text	1
797		text	1
798		text	1
799		text	1
800		text	1
801		text	1
802		text	1
803		text	1
804		text	1
805		text	1
806		text	1
807		text	1
808		text	1
809		text	1
810		text	1
811		text	1
812		text	1
813		text	1
814		text	1
815		text	1
816		text	1
817		text	1
818		text	1
819		text	1
820		text	1
821		text	1
822		text	1
823		text	1
824		text	1
825		text	1
826		text	1
827		text	1
828		text	1
829		text	1
830		text	1
831		text	1
832		text	1
833		text	1
834		text	1
835		text	1
836		text	1
837		text	1
838		text	1
839		text	1
840		text	1
841		text	1
842		text	1
843		text	1
844		text	1
845		text	1
846		text	1
847		text	1
848		text	1
849		text	1
850		text	1
851		text	1
852		text	1
853		text	1
854		text	1
855		text	1
856		text	1
857		text	1
858		text	1
859		text	1
860		text	1
861		text	1
862		text	1
863		text	1
864		text	1
865		text	1
866		text	1
867		text	1
868		text	1
869		text	1
870		text	1
871		text	1
872		text	1
873		text	1
874		text	1
875		text	1
876		text	1
877		text	1
878		text	1
879		text	1
880		text	1
881		text	1
882		text	1
883		text	1
884		text	1
885		text	1
886		text	1
887		text	1
888		text	1
889		text	1
890		text	1
891		text	1
892		text	1
893		text	1
894		text	1
895		text	1
896		text	1
897		text	1
898		text	1
899		text	1
900		text	1
901		text	1
902		text	1
903		text	1
904		text	1
905		text	1
906		text	1
907		text	1
908		text	1
909		text	1
910		text	1
911		text	1
912		text	1
913		text	1
914		text	1
915		text	1
916		text	1
917		text	1
918		text	1
919		text	1
920		text	1
921		text	1
922		text	1
923		text	1
924		text	1
925		text	1
926		text	1
927		text	1
928		text	1
929		text	1
930		text	1
931		text	1
932		text	1
933		text	1
934		text	1
935		text	1
936		text	1
937		text	1
938		text	1
939		text	1
940		text	1
941		text	1
942		text	1
943		text	1
944		text	1
945		text	1
946		text	1
947		text	1
948		text	1
949		text	1
950		text	1
951		text	1
952		text	1
953		text	1
954		text	1
955		text	1
956		text	1
957		text	1
958		text	1
959		text	1
960		text	1
961		text	1
962		text	1
963		text	1
964		text	1
965		text	1
966		text	1
967		text	1
968		text	1
969		text	1
970		text	1
971		text	1
972		text	1
973		text	1
974		text	1
975		text	1
976		text	1
977		text	1
978		text	1
979		text	1
980		text	1
981		text	1
982		text	1
983		text	1
984		text	1
985		text	1
986		text	1
987		text	1
988		text	1
989		text	1
990		text	1
991		text	1
992		text	1
993		text	1
994		text	1
995		text	1
996		text	1
997		text	1
998		text	1
999		text	1
1000		text	1
1001		text	1
1002		text	1
1003		text	1
1004		text	1
1005		text	1
1006		text	1
1007		text	1
1008		text	1
1009		text	1
1010		text	1
1011		text	1
1012		text	1
1013		text	1
1014		text	1
1015		text	1
1016		text	1
1017		text	1
1018		text	1
1019		text	1
1020		text	1
1021		text	1
1022		text	1
1023		text	1
1024		text	1
1025		text	1
1026		text	1
1027		text	1
1028		text	1
1029		text	1
1030		text	1
1031		text	1
1032		text	1
1033		text	1
1034		text	1
1035		text	1
1036		text	1
1037		text	1
1038		text	1
1039		text	1
1040		text	1
1041		text	1
1042		text	1
1043		text	1
1044		text	1
1045		text	1
1046		text	1
1047		text	1
1048		text	1
1049		text	1
1050		text	1
1051		text	1
1052		text	1
1053		text	1
1054		text	1
1055		text	1
1056		text	1
1057		text	1
1058		text	1
1059		text	1
1060		text	1
1061		text	1
1062		text	1
1063		text	1
1064		text	1
1065		text	1
1066		text	1
1067		text	1
1068		text	1
1069		text	1
1070		text	1
1071		text	1
1072		text	1
1073		text	1
1074		text	1
1075		text	1
1076		text	1
1077		text	1
1078		text	1
1079		text	1
1080		text	1
1081		text	1
1082		text	1
1083		text	1
1084		text	1
1085		text	1
1086		text	1
1087		text	1
1088		text	1
1089		text	1
1090		text	1
1091		text	1
1092		text	1
1093		text	1
1094		text	1
1095		text	1
1096		text	1
1097		text	1
1098		text	1
1099		text	1
1100		text	1
1101		text	1
1102		text	1
1103		text	1
1104		text	1
1105		text	1
1106		text	1
1107		text	1
1108		text	1
1109		text	1
1110		text	1
1111		text	1
1112		text	1
1113		text	1
1114		text	1
1115		text	1
1116		text	1
1117		text	1
1118		text	1
1119		text	1
1120		text	1
1121		text	1
1122		text	1
1123		text	1
1124		text	1
1125		text	1
1126		text	1
1127		text	1
1128		text	1
1129		text	1
1130		text	1
1131		text	1
1132		text	1
1133		text	1
1134		text	1
1135		text	1
1136		text	1
1137		text	1
1138		text	1
1139		text	1
1140		text	1
1141		text	1
1142		text	1
1143		text	1
1144		text	1
1145		text	1
1146		text	1
1147		text	1
1148		text	1
1149		text	1
1150		text	1
1151		text	1
1152		text	1
1153		text	1
1154		text	1
1155		text	1
1156		text	1
1157		text	1
1158		text	1
1159		text	1
1160		text	1
1161		text	1
1162		text	1
1163		text	1
1164		text	1
1165		text	1
1166		text	1
1167		text	1
1168		text	1
1169		text	1
1170		text	1
1171		text	1
1172		text	1
1173		text	1
1174		text	1
1175		text	1
1176		text	1
1177		text	1
1178		text	1
1179		text	1
1180		text	1
1181		text	1
1182		text	1
1183		text	1
1184		text	1
1185		text	1
1186		text	1
1187		text	1
1188		text	1
1189		text	1
1190		text	1
1191		text	1
1192		text	1
1193		text	1
1194		text	1
1195		text	1
1196		text	1
1197		text	1
1198		text	1
1199		text	1
1200		text	1
1201		text	1
1202		text	1
1203		text	1
1204		text	1
1205		text	1
1206		text	1
1207		text	1
1208		text	1
1209		text	1
1210		text	1
1211		text	1
1212		text	1
1213		text	1
1214		text	1
1215		text	1
1216		text	1
1217		text	1
1218		text	1
1219		text	1
1220		text	1
1221		text	1
1222		text	1
1223		text	1
1224		text	1
1225		text	1
1226		text	1
1227		text	1
1228		text	1
1229		text	1
1230		text	1
1231		text	1
1232		text	1
1233		text	1
1234		text	1
1235		text	1
1236		text	1
1237		text	1
1238		text	1
1239		text	1
1240		text	1
1241		text	1
1242		text	1
1243		text	1
1244		text	1
1245		text	1
1246		text	1
1247		text	1
1248		text	1
1249		text	1
1250		text	1
1251		text	1
1252		text	1
1253		text	1
1254		text	1
1255		text	1
1256		text	1
1257		text	1
1258		text	1
1259		text	1
1260		text	1
1261		text	1
1262		text	1
1263		text	1
1264		text	1
1265		text	1
1266		text	1
1267		text	1
1268		text	1
1269		text	1
1270		text	1
1271		text	1
1272		text	1
1273		text	1
1274		text	1
1275		text	1
1276		text	1
1277		text	1
1278		text	1
1279		text	1
1280		text	1
1281		text	1
1282		text	1
1283		text	1
1284		text	1
1285		text	1
1286		text	1
1287		text	1
1288		text	1
1289		text	1
1290		text	1
1291		text	1
1292		text	1
1293		text	1
1294		text	1
1295		text	1
1296		text	1
1297		text	1
1298		text	1
1299		text	1
1300		text	1
1301		text	1
1302		text	1
1303		text	1
1304		text	1
1305		text	1
1306		text	1
1307		text	1
1308		text	1
1309		text	1
1310		text	1
1311		text	1
1312		text	1
1313		text	1
1314		text	1
1315		text	1
1316		text	1
1317		text	1
1318		text	1
1319		text	1
1320		text	1
1321		text	1
1322		text	1
1323		text	1
1324		text	1
1325		text	1
1326		text	1
1327		text	1
1328		text	1
1329		text	1
1330		text	1
1331		text	1
1332		text	1
1333		text	1
1334		text	1
1335		text	1
1336		text	1
1337		text	1
1338		text	1
1339		text	1
1340		text	1
1341		text	1
1342		text	1
1343		text	1
1344		text	1
1345		text	1
1346		text	1
1347		text	1
1348		text	1
1349		text	1
1350		text	1
1351		text	1
1352		text	1
1353		text	1
1354		text	1
1355		text	1
1356		text	1
1357		text	1
1358		text	1
1359		text	1
1360		text	1
1361		text	1
1362		text	1
1363		text	1
1364		text	1
1365		text	1
1366		text	1
1367		text	1
1368		text	1
1369		text	1
1370		text	1
1371		text	1
1372		text	1
1373		text	1
1374		text	1
1375		text	1
1376		text	1
1377		text	1
1378		text	1
1379		text	1
1380		text	1
1381		text	1
1382		text	1
1383		text	1
1384		text	1
1385		text	1
1386		text	1
1387		text	1
1388		text	1
1389		text	1
1390		text	1
1391		text	1
1392		text	1
1393		text	1
1394		text	1
1395		text	1
1396		text	1
1397		text	1
1398		text	1
1399		text	1
1400		text	1
1401		text	1
1402		text	1
1403		text	1
1404		text	1
1405		text	1
1406		text	1
1407		text	1
1408		text	1
1409		text	1
1410		text	1
1411		text	1
1412		text	1
1413		text	1
1414		text	1
1415		text	1
1416		text	1
1417		text	1
1418		text	1
1419		text	1
1420		text	1
1421		text	1
1422		text	1
1423		text	1
1424		text	1
1425		text	1
1426		text	1
1427		text	1
1428		text	1
1429		text	1
1430		text	1
1431		text	1
1432		text	1
1433		text	1
1434		text	1
1435		text	1
1436		text	1
1437		text	1
1438		text	1
1439		text	1
1440		text	1
1441		text	1
1442		text	1
1443		text	1
1444		text	1
1445		text	1
1446		text	1
1447		text	1
1448		text	1
1449		text	1
1450		text	1
1451		text	1
1452		text	1
1453		text	1
1454		text	1
1455		text	1
1456		text	1
1457		text	1
1458		text	1
1459		text	1
1460		text	1
1461		text	1
1462		text	1
1463		text	1
1464		text	1
1465		text	1
1466		text	1
1467		text	1
1468		text	1
1469		text	1
1470		text	1
1471		text	1
1472		text	1
1473		text	1
1474		text	1
1475		text	1
1476		text	1
1477		text	1
1478		text	1
1479		text	1
1480		text	1
1481		text	1
1482		text	1
1483		text	1
1484		text	1
1485		text	1
1486		text	1
1487		text	1
1488		text	1
1489		text	1
1490		text	1
1491		text	1
1492		text	1
1493		text	1
1494		text	1
1495		text	1
1496		text	1
1497		text	1
1498		text	1
1499		text	1
1500		text	1
1501		text	1
1502		text	1
1503		text	1
1504		text	1
1505		text	1
1506		text	1
1507		text	1
1508		text	1
1509		text	1
1510		text	1
1511		text	1
1512		text	1
1513		text	1
1514		text	1
1515		text	1
1516		text	1
1517		text	1
1518		text	1
1519		text	1
1520		text	1
1521		text	1
1522		text	1
1523		text	1
1524		text	1
1525		text	1
1526		text	1
1527		text	1
1528		text	1
1529		text	1
1530		text	1
1531		text	1
1532		text	1
1533		text	1
1534		text	1
1535		text	1
1536		text	1
1537		text	1
1538		text	1
1539		text	1
1540		text	1
1541		text	1
1542		text	1
1543		text	1
1544		text	1
1545		text	1
1546		text	1
1547		text	1
1548		text	1
1549		text	1
1550		text	1
1551		text	1
1552		text	1
1553		text	1
1554		text	1
1555		text	1
1556		text	1
1557		text	1
1558		text	1
1559		text	1
1560		text	1
1561		text	1
1562		text	1
1563		text	1
1564		text	1
1565		text	1
1566		text	1
1567		text	1
1568		text	1
1569		text	1
1570		text	1
1571		text	1
1572		text	1
1573		text	1
1574		text	1
1575		text	1
1576		text	1
1577		text	1
1578		text	1
1579		text	1
1580		text	1
1581		text	1
1582		text	1
1583		text	1
1584		text	1
1585		text	1
1586		text	1
1587		text	1
1588		text	1
1589		text	1
1590		text	1
1591		text	1
1592		text	1
1593		text	1
1594		text	1
1595		text	1
1596		text	1
1597		text	1
1598		text	1
1599		text	1
1600		text	1
1601		text	1
1602		text	1
1603		text	1
1604		text	1
1605		text	1
1606		text	1
1607		text	1
1608		text	1
1609		text	1
1610		text	1
1611		text	1
1612		text	1
1613		text	1
1614		text	1
1615		text	1
1616		text	1
1617		text	1
1618		text	1
1619		text	1
1620		text	1
1621		text	1
1622		text	1
1623		text	1
1624		text	1
1625		text	1
1626		text	1
1627		text	1
1628		text	1
1629		text	1
1630		text	1
1631		text	1
1632		text	1
1633		text	1
1634		text	1
1635		text	1
1636		text	1
1637		text	1
1638		text	1
1639		text	1
1640		text	1
1641		text	1
1642		text	1
1643		text	1
1644		text	1
1645		text	1
1646		text	1
1647		text	1
1648		text	1
1649		text	1
1650		text	1
1651		text	1
1652		text	1
1653		text	1
1654		text	1
1655		text	1
1656		text	1
1657		text	1
1658		text	1
1659		text	1
1660		text	1
1661		text	1
1662		text	1
1663		text	1
1664		text	1
1665		text	1
1666		text	1
1667		text	1
1668		text	1
1669		text	1
1670		text	1
1671		text	1
1672		text	1
1673		text	1
1674		text	1
1675		text	1
1676		text	1
1677		text	1
1678		text	1
1679		text	1
1680		text	1
1681		text	1
1682		text	1
1683		text	1
1684		text	1
1685		text	1
1686		text	1
1687		text	1
1688		text	1
1689		text	1
1690		text	1
1691		text	1
1692		text	1
1693		text	1
1694		text	1
1695		text	1
1696		text	1
1697		text	1
1698		text	1
1699		text	1
1700		text	1
1701		text	1
1702		text	1
1703		text	1
1704		text	1
1705		text	1
1706		text	1
1707		text	1
1708		text	1
1709		text	1
1710		text	1
1711		text	1
1712		text	1
1713		text	1
1714		text	1
1715		text	1
1716		text	1
1717		text	1
1718		text	1
1719		text	1
1720		text	1
1721		text	1
1722		text	1
1723		text	1
1724		text	1
1725		text	1
1726		text	1
1727		text	1
1728		text	1
1729		text	1
1730		text	1
1731		text	1
1732		text	1
1733		text	1
1734		text	1
1735		text	1
1736		text	1
1737		text	1
1738		text	1
1739		text	1
1740		text	1
1741		text	1
1742		text	1
1743		text	1
1744		text	1
1745		text	1
1746		text	1
1747		text	1
1748		text	1
1749		text	1
1750		text	1
1751		text	1
1752		text	1
1753		text	1
1754		text	1
1755		text	1
1756		text	1
1757		text	1
1758		text	1
1759		text	1
1760		text	1
1761		text	1
1762		text	1
1763		text	1
1764		text	1
1765		text	1
1766		text	1
1767		text	1
1768		text	1
1769		text	1
1770		text	1
1771		text	1
1772		text	1
1773		text	1
1774		text	1
1775		text	1
1776		text	1
1777		text	1
1778		text	1
1779		text	1
1780		text	1
1781		text	1
1782		text	1
1783		text	1
1784		text	1
1785		text	1
1786		text	1
1787		text	1
1788		text	1
1789		text	1
1790		text	1
1791		text	1
1792		text	1
1793		text	1
1794		text	1
1795		text	1
1796		text	1
1797		text	1
1798		text	1
1799		text	1
1800		text	1
1801		text	1
1802		text	1
1803		text	1
1804		text	1
1805		text	1
1806		text	1
1807		text	1
1808		text	1
1809		text	1
1810		text	1
1811		text	1
1812		text	1
1813		text	1
1814		text	1
1815		text	1
1816		text	1
1817		text	1
1818		text	1
1819		text	1
1820		text	1
1821		text	1
1822		text	1
1823		text	1
1824		text	1
1825		text	1
1826		text	1
1827		text	1
1828		text	1
1829		text	1
1830		text	1
1831		text	1
1832		text	1
1833		text	1
1834		text	1
1835		text	1
1836		text	1
1837		text	1
1838		text	1
1839		text	1
1840		text	1
1841		text	1
1842		text	1
1843		text	1
1844		text	1
1845		text	1
1846		text	1
1847		text	1
1848		text	1
1849		text	1
1850		text	1
1851		text	1
1852		text	1
1853		text	1
1854		text	1
1855		text	1
1856		text	1
1857		text	1
1858		text	1
1859		text	1
1860		text	1
1861		text	1
1862		text	1
1863		text	1
1864		text	1
1865		text	1
1866		text	1
1867		text	1
1868		text	1
1869		text	1
1870		text	1
1871		text	1
1872		text	1
1873		text	1
1874		text	1
1875		text	1
1876		text	1
1877		text	1
1878		text	1
1879		text	1
1880		text	1
1881		text	1
1882		text	1
1883		text	1
1884		text	1
1885		text	1
1886		text	1
1887		text	1
1888		text	1
1889		text	1
1890		text	1
1891		text	1
1892		text	1
1893		text	1
1894		text	1
1895		text	1
1896		text	1
1897		text	1
1898		text	1
1899		text	1
1900		text	1
1901		text	1
1902		text	1
1903		text	1
1904		text	1
1905		text	1
1906		text	1
1907		text	1
1908		text	1
1909		text	1
1910		text	1
1911		text	1
1912		text	1
1913		text	1
1914		text	1
1915		text	1
1916		text	1
1917		text	1
1918		text	1
1919		text	1
1920		text	1
1921		text	1
1922		text	1
1923		text	1
1924		text	1
1925		text	1
1926		text	1
1927		text	1
1928		text	1
1929		text	1
1930		text	1
1931		text	1
1932		text	1
1933		text	1
1934		text	1
1935		text	1
1936		text	1
1937		text	1
1938		text	1
1939		text	1
1940		text	1
1941		text	1
1942		text	1
1943		text	1
1944		text	1
1945		text	1
1946		text	1
1947		text	1
1948		text	1
1949		text	1
1950		text	1
1951		text	1
1952		text	1
1953		text	1
1954		text	1
1955		text	1
1956		text	1
1957		text	1
1958		text	1
1959		text	1
1960		text	1
1961		text	1
1962		text	1
1963		text	1
1964		text	1
1965		text	1
1966		text	1
1967		text	1
1968		text	1
1969		text	1
1970		text	1
1971		text	1
1972		text	1
1973		text	1
1974		text	1
1975		text	1
1976		text	1
1977		text	1
1978		text	1
1979		text	1
1980		text	1
1981		text	1
1982		text	1
1983		text	1
1984		text	1
1985		text	1
1986		text	1
1987		text	1
1988		text	1
1989		text	1
1990		text	1
1991		text	1
1992		text	1
1993		text	1
1994		text	1
1995		text	1
1996		text	1
1997		text	1
1998		text	1
1999		text	1
2000		text	1
2001		text	1
2002		text	1
2003		text	1
2004		text	1
2005		text	1
2006		text	1
2007		text	1
2008		text	1
2009		text	1
2010		text	1
2011		text	1
2012		text	1
2013		text	1
2014		text	1
2015		text	1
2016		text	1
2017		text	1
2018		text	1
2019		text	1
2020		text	1
2021		text	1
2022		text	1
2023		text	1
2024		text	1
2025		text	1
2026		text	1
2027		text	1
2028		text	1
2029		text	1
2030		text	1
2031		text	1
2032		text	1
2033		text	1
2034		text	1
2035		text	1
2036		text	1
2037		text	1
2038		text	1
2039		text	1
2040		text	1
2041		text	1
2042		text	1
2043		text	1
2044		text	1
2045		text	1
2046		text	1
2047		text	1
2048		text	1
2049		text	1
2050		text	1
2051		text	1
2052		text	1
2053		text	1
2054		text	1
2055		text	1
2056		text	1
2057		text	1
2058		text	1
2059		text	1
2060		text	1
2061		text	1
2062		text	1
2063		text	1
2064		text	1
2065		text	1
2066		text	1
2067		text	1
2068		text	1
2069		text	1
2070		text	1
2071		text	1
2072		text	1
2073		text	1
2074		text	1
2075		text	1
2076		text	1
2077		text	1
2078		text	1
2079		text	1
2080		text	1
2081		text	1
2082		text	1
2083		text	1
2084		text	1
2085		text	1
2086		text	1
2087		text	1
2088		text	1
2089		text	1
2090		text	1
2091		text	1
2092		text	1
2093		text	1
2094		text	1
2095		text	1
2096		text	1
2097		text	1
2098		text	1
2099		text	1
2100		text	1
2101		text	1
2102		text	1
2103		text	1
2104		text	1
2105		text	1
2106		text	1
2107		text	1
2108		text	1
2109		text	1
2110		text	1
2111		text	1
2112		text	1
2113		text	1
2114		text	1
2115		text	1
2116		text	1
2117		text	1
2118		text	1
2119		text	1
2120		text	1
2121		text	1
2122		text	1
2123		text	1
2124		text	1
2125		text	1
2126		text	1
2127		text	1
2128		text	1
2129		text	1
2130		text	1
2131		text	1
2132		text	1
2133		text	1
2134		text	1
2135		text	1
2136		text	1
2137		text	1
2138		text	1
2139		text	1
